frame_idx,id,x,y
28,0,463.0,1084.5
29,0,459.5,1065.0
30,0,457.5,1071.5
31,0,459.0,1058.5
32,0,458.0,1054.0
33,0,457.0,1046.0
34,0,455.5,1040.0
35,0,454.0,1039.5
36,0,451.5,1033.5
37,0,447.5,1023.0
38,0,447.5,1023.0
39,0,447.5,1023.0
40,0,447.5,1023.0
41,0,447.5,1023.0
42,0,447.5,1023.0
28,0,463.0,1085.5
29,0,459.5,1078.0
30,0,457.5,1071.5
31,0,457.5,1071.5
32,0,458.0,1053.5
33,0,456.5,1047.5
34,0,455.5,1041.5
35,0,453.5,1039.5
36,0,451.0,1033.5
37,0,448.5,1023.0
38,0,444.0,1011.0
39,0,438.5,997.5
40,0,436.5,981.5
41,0,434.5,972.0
42,0,431.5,965.5
43,0,430.5,960.0
44,0,428.0,959.0
45,0,425.0,958.5
46,0,422.5,956.0
47,0,417.5,946.0
48,0,413.5,936.0
49,0,414.5,927.0
50,0,412.0,923.5
51,0,408.0,920.0
52,0,405.5,915.0
53,0,402.0,911.5
54,0,400.5,909.0
55,0,396.5,904.0
56,0,391.5,894.5
57,0,385.5,885.0
58,0,382.5,872.5
59,0,379.0,861.5
60,0,376.0,856.5
61,0,373.0,852.5
62,0,372.5,849.0
63,0,371.5,846.5
64,0,368.5,842.0
65,0,366.0,833.5
66,0,360.5,822.5
67,0,358.0,812.0
68,0,358.0,803.5
69,0,356.5,800.5
70,0,355.0,796.5
71,0,351.5,791.5
72,0,349.5,786.5
73,0,347.0,780.5
74,0,346.0,771.5
75,0,345.5,760.0
76,0,343.5,747.0
77,0,341.0,736.5
78,0,341.5,733.5
79,0,339.5,730.0
80,0,339.5,726.5
81,0,340.0,723.5
82,0,339.0,717.5
83,0,337.5,707.5
84,0,338.0,694.0
85,0,337.5,682.5
86,0,339.0,674.0
87,0,340.0,671.0
88,0,343.0,667.0
89,0,344.5,663.0
90,0,346.0,660.0
91,0,348.0,653.0
92,0,351.5,642.0
93,0,352.0,629.5
94,0,354.0,617.5
95,0,355.5,610.5
96,0,357.0,606.0
97,0,358.5,601.5
98,0,359.5,598.0
99,0,361.5,594.5
100,0,365.0,589.0
101,0,367.5,579.0
102,0,370.0,566.5
103,0,372.5,555.0
104,0,374.0,543.0
105,0,377.5,539.5
106,0,379.0,535.5
107,0,381.0,531.5
108,0,384.0,528.5
109,0,388.0,524.0
110,0,391.5,513.5
111,0,392.5,501.0
112,0,393.5,487.0
113,0,394.5,481.0
114,0,395.0,477.5
115,0,394.5,474.0
116,0,394.0,471.0
117,0,393.0,466.0
118,0,393.5,459.0
119,0,393.5,454.5
120,0,393.5,443.5
121,0,395.0,432.5
122,0,396.5,422.0
123,0,398.5,416.5
124,0,401.0,413.5
125,0,403.0,411.0
126,0,403.5,407.5
127,0,405.5,404.5
128,0,407.0,399.5
129,0,408.0,390.5
130,0,408.0,379.0
131,0,408.5,368.5
132,0,410.5,361.0
133,0,411.5,359.5
134,0,414.0,356.5
135,0,417.0,353.5
136,0,418.5,350.0
137,0,419.5,344.5
138,0,421.0,336.0
139,0,423.0,326.0
140,0,426.0,315.5
141,0,428.5,303.0
142,0,430.5,299.5
143,0,435.0,296.0
144,0,439.0,292.5
145,0,442.5,289.5
146,0,446.5,283.5
147,0,449.5,273.0
148,0,451.5,263.0
149,0,454.5,251.5
150,0,456.5,247.5
151,0,456.5,244.5
152,0,456.5,241.0
153,0,455.5,237.5
154,0,460.0,231.5
155,0,455.0,224.5
156,0,455.5,207.5
157,0,457.0,195.0
158,0,458.5,192.0
159,0,460.0,188.0
160,0,461.0,185.0
161,0,461.5,182.0
162,0,461.5,177.5
163,0,463.5,170.5
164,0,463.0,161.5
165,0,462.0,149.0
166,0,458.5,140.0
167,0,455.5,128.0
168,0,453.0,120.5
169,0,452.0,118.5
170,0,450.0,116.5
171,0,447.5,115.0
172,0,447.0,110.0
173,0,444.5,101.5
