frame_idx,id,x,y
27,0,406.0,1244.5
28,0,403.0,1235.0
29,0,399.5,1220.0
30,0,395.0,1209.5
31,0,391.5,1197.5
32,0,389.5,1196.5
33,0,388.5,1185.0
34,0,386.5,1175.0
35,0,384.0,1174.0
36,0,382.0,1172.0
37,0,373.0,1167.0
38,0,378.0,1161.0
39,0,376.0,1153.0
40,0,374.0,1137.5
41,0,370.5,1123.5
42,0,367.0,1114.0
43,0,364.5,1109.5
44,0,361.0,1104.0
45,0,357.0,1100.5
46,0,355.5,1098.5
47,0,352.0,1090.5
48,0,348.5,1079.0
49,0,343.5,1068.5
50,0,339.0,1056.5
51,0,336.5,1050.0
52,0,336.5,1050.0
53,0,330.0,1042.5
54,0,328.0,1037.0
55,0,326.0,1031.5
56,0,322.0,1027.5
57,0,319.5,1018.0
58,0,316.5,1009.5
59,0,312.5,997.0
60,0,308.5,982.5
61,0,307.0,976.5
62,0,305.5,974.0
63,0,306.0,971.5
64,0,306.0,966.5
65,0,304.5,961.0
66,0,302.0,952.0
67,0,297.5,940.0
68,0,293.0,929.5
69,0,288.0,918.0
70,0,286.5,909.5
71,0,283.0,905.5
72,0,281.5,901.5
73,0,280.0,898.0
74,0,279.5,894.0
75,0,280.0,886.0
76,0,280.0,876.0
77,0,279.0,864.5
78,0,282.0,852.0
79,0,288.5,840.0
80,0,289.0,834.0
81,0,284.5,829.5
82,0,282.5,825.5
83,0,281.5,820.5
84,0,280.5,815.0
85,0,278.0,804.0
86,0,276.5,793.5
87,0,286.0,781.5
88,0,277.5,771.5
89,0,279.0,765.0
90,0,283.0,761.0
91,0,287.0,758.0
92,0,290.0,755.0
93,0,291.5,749.5
94,0,294.5,742.0
95,0,296.0,731.5
96,0,297.5,720.0
97,0,297.5,710.5
98,0,299.5,699.5
99,0,302.0,696.5
100,0,305.5,692.0
101,0,309.0,689.0
102,0,314.0,685.0
103,0,316.0,682.5
104,0,319.0,675.0
105,0,320.5,666.0
106,0,324.0,657.0
107,0,327.0,646.0
108,0,331.5,637.0
109,0,338.5,632.0
110,0,346.5,629.0
111,0,353.0,626.5
112,0,356.0,623.5
113,0,359.5,618.0
114,0,361.0,610.0
115,0,363.0,600.0
116,0,365.5,590.0
117,0,369.0,579.5
118,0,373.0,575.5
119,0,376.5,572.0
120,0,379.5,568.5
121,0,383.0,565.0
122,0,385.5,560.0
123,0,389.0,553.5
124,0,391.5,546.0
125,0,394.5,536.5
126,0,397.0,527.0
127,0,399.5,517.5
128,0,404.5,513.5
129,0,411.0,510.0
130,0,416.0,508.0
131,0,418.5,504.5
132,0,420.0,499.0
133,0,422.5,490.5
134,0,425.0,481.5
135,0,427.5,472.0
136,0,430.5,463.5
137,0,433.5,457.5
138,0,436.0,454.5
139,0,438.5,451.5
140,0,440.5,448.0
141,0,443.0,443.5
142,0,445.5,435.5
143,0,447.5,427.5
144,0,450.0,419.0
144,1,630.5,1271.5
145,0,451.5,408.5
145,1,639.0,1269.0
146,0,453.0,401.5
146,1,639.0,1269.0
147,0,455.5,395.0
147,1,639.0,1269.0
148,0,461.0,393.0
148,1,639.0,1269.0
149,0,465.0,389.5
149,1,639.0,1269.0
149,2,651.0,1222.0
150,0,467.5,388.0
150,1,639.0,1269.0
150,2,659.5,1224.5
150,3,432.0,163.5
151,0,468.0,384.5
151,2,659.5,1224.5
151,3,433.5,167.5
152,0,470.5,381.0
152,2,659.5,1224.5
152,3,434.5,172.5
153,0,473.5,373.5
153,2,659.5,1224.5
153,3,430.5,174.0
154,0,477.5,364.5
154,2,659.5,1224.5
154,3,431.0,175.0
155,0,480.5,356.0
155,2,659.5,1224.5
155,3,427.5,178.0
156,0,484.0,348.0
156,3,428.0,182.0
157,0,486.5,344.0
157,3,428.5,194.0
158,0,490.0,341.5
158,3,427.0,202.0
159,0,492.5,339.0
159,3,426.5,206.5
160,0,495.0,336.5
160,3,427.5,209.5
160,4,715.5,1090.0
161,0,496.5,333.0
161,3,429.5,212.0
161,4,731.5,1089.5
162,0,498.0,328.0
162,3,431.5,215.0
162,4,734.5,1076.5
163,0,499.5,322.5
163,3,432.0,217.5
163,4,736.5,1069.5
164,0,501.5,316.0
164,3,432.5,220.5
164,4,740.0,1063.0
165,0,503.5,307.5
165,3,431.0,230.0
165,4,746.5,1057.5
166,0,504.0,300.5
166,3,428.5,240.5
166,4,751.5,1045.0
167,0,505.5,294.5
167,3,425.5,249.5
167,4,758.0,1031.5
168,0,505.5,294.0
168,3,424.0,253.5
168,4,763.0,1022.5
169,0,507.0,291.5
169,3,420.0,258.0
169,4,771.0,1007.0
170,0,509.0,290.0
170,3,416.5,262.5
170,4,775.0,999.5
171,0,512.0,287.5
171,3,416.0,266.0
171,4,779.5,988.0
172,0,514.0,284.0
172,3,413.0,269.0
172,4,786.0,987.0
173,0,518.0,278.0
173,3,409.0,273.5
173,4,788.5,968.5
174,0,521.0,272.0
174,3,403.0,279.0
174,4,793.5,963.0
175,0,522.5,265.5
175,3,399.0,295.5
175,4,802.5,955.0
176,0,524.5,256.0
176,3,396.0,309.5
176,4,814.5,949.5
177,0,525.5,251.0
177,3,394.0,317.5
177,4,814.5,949.5
178,0,527.0,248.5
178,3,392.5,323.0
178,4,814.5,949.5
179,0,528.5,246.5
179,3,394.0,327.0
179,4,814.5,949.5
180,0,528.5,243.5
180,3,393.0,331.0
180,4,814.5,949.5
181,0,528.0,241.0
181,3,390.0,334.5
181,4,814.5,949.5
182,0,527.0,238.5
182,3,387.5,343.0
183,0,525.5,234.5
183,3,384.5,361.0
184,0,524.5,229.5
184,3,381.5,372.5
184,5,872.5,889.5
185,0,524.5,222.5
185,3,379.5,381.5
185,5,884.5,874.5
186,0,524.0,215.5
186,3,377.5,386.5
186,5,890.0,859.5
187,0,523.5,209.0
187,3,374.5,390.0
187,5,890.0,859.5
188,0,523.0,202.5
188,3,370.5,394.0
188,5,898.0,841.0
189,0,523.0,198.5
189,3,366.0,398.0
189,5,903.0,838.0
190,0,522.5,196.5
190,3,361.5,412.0
190,5,909.0,832.5
191,0,522.5,194.5
191,3,362.5,432.0
191,5,916.5,830.0
192,0,522.5,192.5
192,3,360.0,443.0
192,5,926.5,822.0
193,0,523.5,189.5
193,3,358.0,450.5
193,5,940.5,818.5
194,0,525.5,185.5
194,3,357.0,455.5
194,5,940.5,818.5
195,0,527.0,182.5
195,3,357.0,455.5
195,5,967.0,802.0
196,0,527.0,178.0
196,3,355.5,464.0
196,5,967.5,798.5
197,0,527.5,172.5
197,3,355.5,464.0
197,5,967.5,798.5
198,0,528.0,168.0
198,3,355.5,464.0
198,5,967.5,798.5
199,0,527.5,163.0
199,3,355.5,464.0
199,5,967.5,798.5
200,0,527.0,157.5
200,3,355.5,464.0
200,5,967.5,798.5
201,0,525.0,156.5
201,3,355.5,464.0
201,5,967.5,798.5
201,6,336.0,521.5
202,0,523.0,155.5
202,6,333.5,526.0
203,0,520.5,155.0
203,6,330.5,530.5
204,0,517.5,154.0
204,6,330.5,530.5
205,0,514.0,151.0
205,6,330.5,530.5
206,0,512.0,149.5
206,6,330.5,530.5
207,0,510.5,146.5
207,6,330.5,530.5
208,0,508.5,141.5
208,6,330.5,530.5
209,0,505.0,138.5
210,0,502.0,135.0
211,0,498.5,133.0
212,0,497.0,131.5
213,0,495.5,129.5
214,0,495.0,128.5
215,0,494.5,126.0
216,0,492.5,125.5
217,0,491.5,123.5
217,7,307.0,676.5
218,0,490.5,121.0
218,7,307.0,676.5
219,0,489.0,119.0
219,7,302.0,685.5
220,0,487.0,117.5
220,7,301.0,700.5
221,0,486.0,114.5
221,7,300.5,720.5
222,0,484.5,113.0
222,7,300.5,720.5
223,0,483.5,111.0
223,7,300.5,720.5
224,0,482.5,108.5
224,7,300.5,720.5
225,0,480.5,105.0
225,7,302.5,752.5
226,0,478.0,103.5
226,7,302.5,752.5
227,0,475.5,103.5
227,7,302.5,752.5
228,0,471.5,102.5
228,7,305.0,786.0
229,0,468.5,102.5
229,7,305.0,786.0
230,0,466.0,104.0
230,7,302.5,812.5
231,0,464.0,102.0
231,7,302.0,819.5
232,0,462.0,101.0
232,7,301.0,824.5
233,0,460.5,98.0
233,7,301.0,824.5
234,0,459.5,99.0
234,7,299.0,832.5
235,0,455.0,97.5
235,7,299.0,832.5
236,0,449.0,97.0
236,7,297.0,858.5
237,0,444.5,97.0
237,7,297.0,877.0
238,0,441.5,95.5
238,7,297.0,884.5
239,0,439.5,105.0
239,7,295.0,893.5
240,0,438.5,107.0
240,7,295.0,893.5
241,0,437.5,105.5
241,7,295.0,893.5
242,0,435.0,102.5
242,7,296.5,912.5
243,0,432.5,101.5
243,7,296.5,912.5
244,0,429.0,92.0
244,7,296.5,912.5
245,0,424.0,91.0
245,7,296.5,912.5
246,0,417.5,90.5
246,7,296.5,912.5
247,0,411.5,87.0
247,7,296.5,912.5
248,0,408.5,86.0
249,0,408.0,83.0
250,0,403.5,83.0
251,0,397.5,83.5
252,0,397.5,83.5
253,0,397.5,83.5
254,0,405.0,88.5
255,0,405.0,88.5
256,0,405.0,88.5
257,0,405.0,88.5
258,0,405.0,88.5
259,0,397.5,82.0
260,0,403.0,82.0
261,0,401.5,82.0
262,0,400.0,86.5
263,0,400.0,86.5
264,0,402.0,86.0
265,0,402.0,86.5
266,0,401.0,83.5
267,0,397.5,82.5
268,0,396.5,82.0
269,0,392.5,82.0
270,0,400.0,83.0
271,0,402.0,83.0
272,0,403.0,82.0
273,0,402.5,82.5
274,0,403.0,82.5
275,0,404.0,82.5
276,0,399.5,82.5
277,0,401.5,82.0
278,0,399.0,82.0
279,0,399.0,82.5
280,0,402.0,82.5
280,8,449.5,1220.0
281,0,401.0,82.5
281,8,445.5,1216.5
282,0,399.5,82.5
282,8,441.0,1209.5
283,0,400.0,82.5
283,8,438.5,1202.0
284,0,402.0,82.0
284,8,436.0,1193.0
285,0,400.0,82.0
285,8,433.5,1189.0
286,0,402.5,82.5
286,8,432.0,1185.0
286,9,468.0,1105.5
287,0,402.5,82.0
287,8,431.5,1180.0
287,9,466.5,1094.5
288,0,402.0,82.5
288,8,430.5,1174.5
288,9,464.5,1084.5
289,0,402.0,82.5
289,8,429.0,1170.0
289,9,460.0,1074.0
290,0,400.5,82.0
290,8,428.0,1167.0
290,9,458.5,1069.5
291,0,401.5,82.0
291,8,426.0,1165.5
291,9,455.0,1067.0
292,0,400.5,82.5
292,8,424.0,1160.5
292,9,451.0,1065.0
293,0,400.0,82.0
293,8,423.0,1155.5
293,9,447.5,1063.0
294,0,401.0,82.0
294,8,421.5,1148.5
294,9,443.0,1056.0
295,0,399.5,82.0
295,8,420.0,1142.0
295,9,440.0,1048.0
296,0,401.0,82.0
296,8,417.5,1136.0
296,9,438.0,1038.5
297,0,402.0,82.0
297,8,415.0,1128.5
297,9,435.5,1030.0
298,0,400.0,82.0
298,8,413.0,1125.5
298,9,433.0,1028.0
299,0,401.5,82.0
299,8,411.5,1123.5
299,9,431.0,1026.0
300,0,400.5,82.0
300,8,409.0,1119.0
300,9,428.0,1019.0
301,0,397.5,82.0
301,8,406.5,1117.0
301,9,425.5,1018.5
302,0,399.5,82.5
302,8,402.5,1114.5
302,9,424.0,1017.0
303,0,398.0,82.5
303,8,398.5,1113.0
303,9,424.0,1013.5
304,0,399.0,82.5
304,8,394.5,1110.5
304,9,428.5,1009.0
305,0,399.0,82.5
305,8,391.0,1106.0
